Plaats,Woon- plaats- code,Postcode (laagste tot hoogste),Gemeente met link naar gemeentelijke website,Provincie
Almere-Haven,,1351–1359,Almere,Flevoland
Almere-Hout,,1341–1349,Almere,Flevoland
Almere-Pampus,,1309–1309,Almere,Flevoland
Almere-Poort,,1309–1364,Almere,Flevoland
Almere-Stad,,1311–1329,Almere,Flevoland
Almkerk,3300,4286–4286,Altena,Noord-Brabant
Alphen,3432,5131–5131,Alphen-Chaam,Noord-Brabant
Alphen,1766,6626–6626,West Maas en Waal,Gelderland
Alphen aan den Rijn,1080,2401–2409,Alphen aan den Rijn,Zuid-Holland
Alphen-Oosterwijk,,5131–5131,Alphen-Chaam,Noord-Brabant
Altena,,9321–9321,Noordenveld,Drenthe
Alteveer,3160,7927–7927,De Wolden,Drenthe
Alteveer,,7915–7915,Hoogeveen,Drenthe
Alteveer,1633,9306–9306,Noordenveld,Drenthe
Alteveer,3079,9661–9661,Stadskanaal,Groningen
Altforst,1767,6628–6628,West Maas en Waal,Gelderland
Alting,,9411–9411,Midden-Drenthe,Drenthe
Altweert,,6006–6006,Weert,Limburg
Altweerterheide,,6006–6006,Weert,Limburg
Alverna,,6603–6603,Wijchen,Gelderland
Alvershool,,5674–5674,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
Ambt delden,1438,7495–7495,Hof van Twente,Overijssel
Ameide,2106,4233–4235,Vijfheerenlanden,Utrecht
Amen,1147,9446–9446,Aa en Hunze,Drenthe
America,1026,5966–5966,Horst aan de Maas,Limburg
Amerika,,9342–9342,Noordenveld,Drenthe
Amerongen,3337,3958–3958,Utrechtse Heuvelrug,Utrecht
Amersfoort,1664,3801–3821,Amersfoort,Utrecht
Ammerstol,2367,2865–2865,Krimpenerwaard,Zuid-Holland
Ammerzoden,1624,5324–5324,Maasdriel,Gelderland
Ampsen,,7241–7241,Lochem,Gelderland
Amstelhoek,3547,1427–1427,De Ronde Venen,Utrecht
Amstelveen,1050,1181–1189,Amstelveen,Noord-Holland
Amstenrade,2099,6436–6436,Beekdaelen,Limburg
Amsterdam,3594,1001–1099,Amsterdam,Noord-Holland
Amsterdam-Duivendrecht,3569,1114–1114,Ouder-Amstel,Noord-Holland
Amsterdamscheveld,,7887–7887,Emmen,Drenthe
Amsweer,,9937–9937,Delfzijl,Groningen
Andel,3301,4281–4281,Altena,Noord-Brabant
Den Andel,2466,9956–9956,Het Hogeland,Groningen
Andelst,1862,6673–6673,Overbetuwe,Gelderland
Anderen,1148,9465–9465,Aa en Hunze,Drenthe
Andijk,1053,1619–1619,Medemblik,Noord-Holland
Ane,1537,7784–7784,Hardenberg,Overijssel
Anerveen,1538,7788–7788,Hardenberg,Overijssel
Anevelde,1539,7785–7785,Hardenberg,Overijssel
Angeren,3133,6687–6687,Lingewaard,Gelderland
Angerlo,1299,6986–6986,Zevenaar,Gelderland
Anholt,,7935–7935,De Wolden,Drenthe
Anjum / Eanjum,3388,9133–9133,Noardeast-Fryslân,Fryslân
Ankeveen,2999,1244–1244,Wijdemeren,Noord-Holland
Ankum,,7722–7722,Dalfsen,Overijssel
Anloo,1149,9467–9467,Aa en Hunze,Drenthe
Anna Jacobapolder,,4675–4675,Tholen,Zeeland
Anna Paulowna,3185,1761–1761,Hollands Kroon,Noord-Holland
Annabuorren,,8632–8632,Súdwest-Fryslân,Fryslân
Annen,1150,9468–9468,Aa en Hunze,Drenthe
Annendaal,,6061–6061,Roerdalen,Limburg
Annerveenschekanaal,1151,9654–9654,Aa en Hunze,Drenthe
Anneville,,4858–4858,Alphen-Chaam,Noord-Brabant
Anreep,,9404–9404,Assen,Drenthe
Ansen,3161,7964–7964,De Wolden,Drenthe
Ansen,3104,7991–7991,Westerveld,Drenthe
Ter Apel,2296,9561–9561,Westerwolde,Groningen
Apeldoorn,3560,7311–7336,Apeldoorn,Gelderland
Ter Apelkanaal,2297,9563–9563,Westerwolde,Groningen
Apenhuizen,,7437–7437,Deventer,Overijssel
Appel,,3862–3862,Nijkerk,Gelderland
Appelscha / Appelskea,1753,8426–8426,Ooststellingwerf,Fryslân
Appeltern,1768,6629–6629,West Maas en Waal,Gelderland
Appen,,7383–7383,Voorst,Gelderland
Appingedam,3386,9901–9903,Appingedam,Groningen
Arcen,3140,5944–5944,Venlo,Limburg
Archem,,8148–8148,Ommen,Overijssel
Arendnest,,5427–5427,Boekel,Noord-Brabant
Arensgenhout,,6336–6336,Beekdaelen,Limburg
Arkel,1432,4241–4241,Molenlanden,Zuid-Holland
Arkens,,8802–8802,Waadhoeke,Fryslân
Ten Arlo,,7921–7921,De Wolden,Drenthe
Armhoede,,7241–7241,Lochem,Gelderland
Armweide,,7963–7963,De Wolden,Drenthe
Arnemuiden,1008,4341–4341,Middelburg,Zeeland
Arnhem,1296,6811–6845,Arnhem,Gelderland
Arnoud,,2182–2182,Hillegom,Zuid-Holland
Arriën,3630,7735–7735,Ommen,Overijssel
Arriërveld,,7735–7735,Ommen,Overijssel
Arum,2302,8822–8822,Súdwest-Fryslân,Fryslân
Arwerd,,9904–9904,Delfzijl,Groningen
Asbroek,,6089–6089,Leudal,Limburg
Asch,3370,4115–4115,Buren,Gelderland
Asenray,,6042–6042,Roermond,Limburg
Asperen,2353,4147–4147,West Betuwe,Gelderland
Asschat,,3831–3831,Leusden,Utrecht
Assel,,7346–7346,Apeldoorn,Gelderland
Asselt,,6071–6071,Roermond,Limburg
Assen,2391,9401–9408,Assen,Drenthe
Assendelft,1878,1566–1566,Zaanstad,Noord-Holland
Asten,2928,5721–5721,Asten,Noord-Brabant
Atzeburen,,8762–8762,Súdwest-Fryslân,Fryslân
Augsbuurt,3307,9292–9292,Noardeast-Fryslân,Fryslân
Augsbuurt-Lutjewoude / Lytsewâld,,9292–9292,Noardeast-Fryslân,Fryslân
Augustinusga / Stynsgea,3173,9284–9284,Achtkarspelen,Fryslân
Austerlitz,2824,3711–3711,Zeist,Utrecht
Avenhorn,1183,1633–1633,Koggenland,Noord-Holland
Averlo,,7433–7433,Deventer,Overijssel
Avest,,7156–7156,Berkelland,Gelderland
Axel,1128,4571–4571,Terneuzen,Zeeland
Azelo,,7495–7495,Hof van Twente,Overijssel
Azewijn,2202,7045–7045,Montferland,Gelderland
Baaiduinen / Baaidúnen,2621,8884–8884,Terschelling,Fryslân
Baaium / Baijum,,8841–8841,Waadhoeke,Fryslân
Baak,1527,7223–7223,Bronckhorst,Gelderland
Baakhoven,,6114–6114,Echt-Susteren,Limburg
Baaks,,6369–6369,Simpelveld,Limburg
Baakwoning,,2671–2671,Westland,Zuid-Holland
Baal,,6685–6685,Lingewaard,Gelderland
Baalhoek,,4587–4587,Hulst,Zeeland
Baambrugge,1333,1396–1396,De Ronde Venen,Utrecht
Baambrugse Zuwe,,3645–3645,De Ronde Venen,Utrecht
Baamsum,,9947–9947,Delfzijl,Groningen
De Baan,,4271–4271,Altena,Noord-Brabant
Baanhoek (?),,3361–3361,Sliedrecht,Zuid-Holland
Baard / Baerd,2009,8834–8834,Leeuwarden,Fryslân
Baarderburen / Baardbuorren,,8822–8822,Súdwest-Fryslân,Fryslân
Baarland,1251,4435–4435,Borsele,Zeeland
Baarle-Nassau,2883,5111–5111,Baarle-Nassau,Noord-Brabant
Baarlo,2602,5991–5991,Peel en Maas,Limburg
Baarlo,2691,8372–8372,Steenwijkerland,Overijssel
Baarlo,,8064–8064,Zwartewaterland,Overijssel
Baarn,1092,3741–3744,Baarn,Utrecht
Baars,2692,8336–8336,Steenwijkerland,Overijssel
Baarschot,,5756–5756,Deurne,Noord-Brabant
Baarschot,,5087–5087,Hilvarenbeek,Noord-Brabant
Baarschot,,4849–4849,Oosterhout,Noord-Brabant
Baarsdorp,,4444–4444,Borsele,Zeeland
Baarstraat,,6017–6017,Maasgouw,Limburg
Babberich,1298,6909–6909,Zevenaar,Gelderland
Baburen,,8765–8765,Súdwest-Fryslân,Fryslân
Babyloniënbroek,1951,4269–4269,Altena,Noord-Brabant
Bad Nieuweschans,1420,9693–9693,Oldambt,Groningen
Badhoevedorp,1617,1171–1171,Haarlemmermeer,Noord-Holland
Baexem,2940,6095–6095,Leudal,Limburg
Baflo,2465,9953–9953,Het Hogeland,Groningen
Bahr,,6988–6988,Zevenaar,Gelderland
Bakel,2090,5761–5761,Gemert-Bakel,Noord-Brabant
Bakelsebrug,,5761–5761,Gemert-Bakel,Noord-Brabant
Bakendorp,,4435–4435,Borsele,Zeeland
Bakertand,,5026–5026,Tilburg,Noord-Brabant
Bakhuisbos,,8181–8181,Heerde,Gelderland
Bakhuizen / Bakhúzen,1673,8574–8574,De Fryske Marren,Fryslân
Bakkerom,,9362–9362,Westerkwartier,Groningen
Bakkersdam,,4501–4501,Sluis,Zeeland
Bakkeveen / Bakkefean,3342,9243–9243,Opsterland,Fryslân
Balgoij,2570,6613–6613,Wijchen,Gelderland
Balhofstede,,4515–4515,Sluis,Zeeland
Balinge,3005,9437–9437,Midden-Drenthe,Drenthe
Balk,1674,8561–8561,De Fryske Marren,Fryslân
Balkbrug,1540,7707–7707,Hardenberg,Overijssel
Ballast,,7741–7741,Coevorden,Drenthe
Balleman,,4855–4855,Alphen-Chaam,Noord-Brabant
Ballingbuur / Ballingbuer,,8511–8511,De Fryske Marren,Fryslân
Balloo,1152,9458–9458,Aa en Hunze,Drenthe
Ballum,2587,9162–9162,Ameland,Fryslân
Balmahuizen,,9884–9884,Westerkwartier,Groningen
Baneheide,3067,6353–6353,Simpelveld,Limburg
Banholt,1690,6262–6262,Eijsden-Margraten,Limburg
Bankert,,5763–5763,Gemert-Bakel,Noord-Brabant
Bant,1272,8314–8314,Noordoostpolder,Flevoland
Bantega / Bantegea,2239,8538–8538,De Fryske Marren,Fryslân
Barchem,1335,7244–7244,Lochem,Gelderland
Barendrecht,1594,2991–2993,Barendrecht,Zuid-Holland
Barendrechtse Veer,,2992–2992,Barendrecht,Zuid-Holland
Bareveld,,9512–9512,Aa en Hunze,Drenthe
Bargebek / De Bargebek,,8563–8563,De Fryske Marren,Fryslân
Barger-Compascuum,1987,7884–7884,Emmen,Drenthe
Barger-Erfscheidenveen,,7814–7833,Emmen,Drenthe
Barger-Oosterveen,,7891–7891,Emmen,Drenthe
Barlage,,9591–9591,Stadskanaal,Groningen
Barlaque,,4793–4793,Moerdijk,Noord-Brabant
Barlo,,7122–7122,Aalten,Gelderland
Barneveld,3597,3771–3773,Barneveld,Gelderland
Barnflair,,9561–9561,Westerwolde,Groningen
Barrier,,6343–6343,Voerendaal,Limburg
Barsbeek,,8326–8326,Steenwijkerland,Overijssel
Barsingerhorn,2514,1768–1768,Hollands Kroon,Noord-Holland
Bartlehiem,,9178–9074,Noardeast-Fryslân,Fryslân
Bartlehiem,,9051–9051,Leeuwarden,Fryslân
Bartlehiem,,9091–9091,Tytsjerksteradiel,Fryslân
Bartlehiem,,9064–9064,Tytsjerksteradiel,Fryslân
Barwoutswaarder,,3449–3449,Woerden,Utrecht
Basse,2693,8342–8342,Steenwijkerland,Overijssel
Basserveld,,8338–8338,Steenwijkerland,Overijssel
Batenburg,2568,6634–6634,Wijchen,Gelderland
Bath,,4411–4411,Reimerswaal,Zeeland
Bathmen,2854,7437–7437,Deventer,Overijssel
Battenoord,,3244–3244,Goeree-Overflakkee,Zuid-Holland
Bavel,3624,4854–4854,Breda,Noord-Brabant
Bavel AC,3437,4859–4859,Alphen-Chaam,Noord-Brabant
Bavinkel,,7607–7607,Almelo,Overijssel
Bazuin,,7921–7921,De Wolden,Drenthe
Bears / Beers,2010,9025–9025,Leeuwarden,Fryslân
Beckum,,7554–7554,Hengelo,Overijssel
Bedaf,,5406–5406,Uden,Noord-Brabant
Bedum,2829,9781–9781,Het Hogeland,Groningen
Beegden,1918,6099–6099,Maasgouw,Limburg
Beek,1670,6191–6191,Beek,Limburg
Beek,2872,6573–6573,Berg en Dal,Gelderland
Beek,2203,7037–7037,Montferland,Gelderland
Beek,,5815–5815,Venray,Limburg
De Beek,,5721–5721,Asten,Noord-Brabant
De Beek,,3852–3852,Ermelo,Gelderland
Beek en Donk,1446,5741–5741,Laarbeek,Noord-Brabant
Beekbergen,2258,7361–7361,Apeldoorn,Gelderland
Beekdorp,,7597–7597,Dinkelland,Overijssel
Beekheuvel,,5853–5853,Bergen,Limburg
Beekkant,,6095–6095,Leudal,Limburg
Beemdkant,,5737–5737,Laarbeek,Noord-Brabant
Beemte,,7341–7341,Apeldoorn,Gelderland
Beemte Broekland,2254,7341–7341,Apeldoorn,Gelderland
Beerenplaat,,3209–3209,Nissewaard,Zuid-Holland
Beers,,5437–5437,Cuijk,Noord-Brabant
Beerschoten,,3971–3971,Utrechtse Heuvelrug,Utrecht
Beersterhoogen,,9687–9687,Oldambt,Groningen
Beerta,3508,9686–9686,Oldambt,Groningen
Beertsenhoven,,6321–6321,Gulpen-Wittem,Limburg
Beerze,2548,7736–7736,Ommen,Overijssel
Beerzerveld,2549,7685–7685,Ommen,Overijssel
Beesd,3213,4153–4153,West Betuwe,Gelderland
Beesel,1950,5954–5954,Beesel,Limburg
Beets,1837,1475–1475,Edam-Volendam,Noord-Holland
Beetsterzwaag / Beetstersweach,3343,9244–9244,Opsterland,Fryslân
Het Beggelder,,7091–7091,Aalten,Gelderland
Behelp,,5725–5725,Asten,Noord-Brabant
Het Beijersche,,2821–2821,Krimpenerwaard,Zuid-Holland
Beilen,3006,9411–9413,Midden-Drenthe,Drenthe
Beilervaart,,9411–9411,Midden-Drenthe,Drenthe
Beinsdorp,1610,2144–2144,Haarlemmermeer,Noord-Holland
Beinum,,6983–6983,Doesburg,Gelderland
Bekelaar,,5731–5731,Geldrop-Mierlo,Noord-Brabant
Bekenes,,3449–3449,Woerden,Utrecht
Bekveld,,7255–7255,Bronckhorst,Gelderland
Beldert,,4315–4315,Schouwen-Duiveland,Zeeland
Belfeld,1476,5951–5951,Venlo,Limburg
Belgenhoek,,5985–5985,Peel en Maas,Limburg
Belgeren,,5756–5756,Deurne,Noord-Brabant
Bellingwolde,2231,9695–9695,Westerwolde,Groningen
De Belt,,7776–7776,Hardenberg,Overijssel
Op de Belt,,5853–5853,Bergen,Limburg
Belt-Schutsloot,2694,8066–8066,Steenwijkerland,Overijssel
Beltrum,1661,7156–7156,Berkelland,Gelderland
Belvert,,5076–5076,Haaren,Noord-Brabant
Bemelen,1691,6268–6268,Eijsden-Margraten,Limburg
Bemmel,3131,6681–6681,Lingewaard,Gelderland
Bemmer,,5741–5741,Laarbeek,Noord-Brabant
Benderse,,7963–7963,De Wolden,Drenthe
Beneden Veensloot,,9651–9651,Midden-Groningen,Groningen
Beneden-Haastrecht,,2851–2851,Krimpenerwaard,Zuid-Holland
Beneden-Leeuwen,1769,6658–6658,West Maas en Waal,Gelderland
Benedenberg,,2861–2861,Krimpenerwaard,Zuid-Holland
Benedeneind,,5394–5394,Oss,Noord-Brabant
Benedeneind,,3907–3907,Veenendaal,Utrecht
Benedenheul,,2821–2821,Krimpenerwaard,Zuid-Holland
Benedenkerk,,2821–2821,Krimpenerwaard,Zuid-Holland
Bennebroek,3533,2121–2121,Bloemendaal,Noord-Holland
Bennekom,2766,6721–6721,Ede,Gelderland
Benneveld,2146,7856–7856,Coevorden,Drenthe
Benningbroek,3148,1654–1654,Medemblik,Noord-Holland
Benschop,1958,3405–3405,Lopik,Utrecht
Bent,,2391–2391,Alphen aan den Rijn,Zuid-Holland
De Bente,,7751–7751,Coevorden,Drenthe
Bentelo,1439,7497–7497,Hof van Twente,Overijssel
Benthem,,5761–5761,Gemert-Bakel,Noord-Brabant
Benthuizen,2853,2731–2731,Alphen aan den Rijn,Zuid-Holland
Bentveld,1306,2116–2116,Zandvoort,Noord-Holland
Benzenrade,,6419–6419,Heerlen,Limburg
Berenbroek,,5707–5707,Helmond,Noord-Brabant
Aan de Berg,,6105–6105,Echt-Susteren,Limburg
Aan de Berg,,6065–6065,Roerdalen,Limburg
Berg,,6028–6028,Cranendonck,Noord-Brabant
Berg,,6267–6267,Eijsden-Margraten,Limburg
Berg,,5768–5768,Peel en Maas,Limburg
Berg,,6129–6129,Stein,Limburg
De Berg,,5454–5454,Mill en Sint Hubert,Noord-Brabant
De Berg,,6039–6039,Weert,Limburg
Den Berg,,5298–5298,Boxtel,Noord-Brabant
Berg (?),,6325–6325,Valkenburg aan de Geul,Limburg
Berg en Dal,3618,6571–6572,Berg en Dal,Gelderland
Berg en Terblijt,1716,6325–6325,Valkenburg aan de Geul,Limburg
Bergakker,,4013–4013,Tiel,Gelderland
Bergambacht,2365,2861–2861,Krimpenerwaard,Zuid-Holland
Bergeijk,1457,5571–5571,Bergeijk,Noord-Brabant
Aan de Bergen,,6093–6093,Leudal,Limburg
Bergen,,1861–1862,Bergen,Noord-Holland
Bergen,,5854–5854,Bergen,Limburg
Bergen aan Zee,3046,1865–1865,Bergen,Noord-Holland
Bergen op Zoom,1937,4601–4625,Bergen op Zoom,Noord-Brabant
Bergenhuizen,,6255–6255,Eijsden-Margraten,Limburg
Bergenshuizen,,5262–5262,Vught,Noord-Brabant
Bergentheim,1541,7691–7691,Hardenberg,Overijssel
Bergerden,,6681–6851,Lingewaard,Gelderland
Bergharen,2565,6617–6617,Wijchen,Gelderland
Berghem,,6271–6271,Gulpen-Wittem,Limburg
Berghem,3250,5351–5351,Oss,Noord-Brabant
Berghuizen,,7961–7961,De Wolden,Drenthe
Berghuizen,,8191–8191,Heerde,Gelderland
Berghuizen,,6627–6627,West Maas en Waal,Gelderland
Berghum,,7591–7591,Dinkelland,Overijssel
t Bergje,,7701–7701,Hardenberg,Overijssel
Bergsche Heide,,5854–5854,Bergen,Limburg
Bergschenhoek,1688,2661–2661,Lansingerland,Zuid-Holland
Bergstoep,,2861–2861,Krimpenerwaard,Zuid-Holland
Berik,,6082–6082,Leudal,Limburg
Beringe,3438,5986–5986,Peel en Maas,Limburg
De Berk,,4714–4714,Rucphen,Noord-Brabant
Berkeind,,5032–5032,Tilburg,Noord-Brabant
Berkeindje,,5715–5715,Someren,Noord-Brabant
Berkel en Rodenrijs,1687,2651–2651,Lansingerland,Zuid-Holland
Berkel-Enschot,1044,5056–5057,Tilburg,Noord-Brabant
Berkelaar,,6101–6101,Echt-Susteren,Limburg
De Berken,,5724–5724,Asten,Noord-Brabant
Berkenwoude,2366,2825–2825,Krimpenerwaard,Zuid-Holland
Berkhoek,,5427–5427,Boekel,Noord-Brabant
Berkhoek,,5071–5071,Tilburg,Noord-Brabant
Berkhout,1184,1647–1647,Koggenland,Noord-Holland
Berkt,,5384–5384,Bernheze,Noord-Brabant
Berkt,,5508–5508,Veldhoven,Noord-Brabant
Berlicum,2057,5258–5258,Sint-Michielsgestel,Noord-Brabant
Berltsum / Berlikum,2724,9041–9041,Waadhoeke,Fryslân
Bern,2627,5318–5318,Zaltbommel,Gelderland
Bernsterburen,,8644–8644,Súdwest-Fryslân,Fryslân
Besselaar,,5294–5294,Sint-Michielsgestel,Noord-Brabant
Best,1456,5681–5684,Best,Noord-Brabant
Besthmen,,7731–7731,Ommen,Overijssel
Beswerd,,9891–9891,Westerkwartier,Groningen
Bethlehem,,9998–9998,Het Hogeland,Groningen
Betterwird / Betterwurd,,9101–9101,Noardeast-Fryslân,Fryslân
Beugen,1214,5835–5835,Boxmeer,Noord-Brabant
Beugt,,5473–5473,Bernheze,Noord-Brabant
Beukelaar,,5463–5463,Meierijstad,Noord-Brabant
Beuningen,,6641–6642,Beuningen,Gelderland
Beuningen,1711,7588–7588,Losser,Overijssel
Beusbergen,,7475–7475,Hof van Twente,Overijssel
Beuseberg,,7451–7451,Rijssen-Holten,Overijssel
Beusichem,3371,4112–4112,Buren,Gelderland
Beutenaken,1230,6278–6278,Gulpen-Wittem,Limburg
Bevermeer,,6986–6986,Zevenaar,Gelderland
Beverwijk,2735,1941–1948,Beverwijk,Noord-Holland
Biddinghuizen,2429,8256–8256,Dronten,Flevoland
Biert,,3212–3212,Nissewaard,Zuid-Holland
Bierum,3232,9906–9906,Delfzijl,Groningen
Biervliet,2975,4522–4522,Sluis,Zeeland
Biervliet,1129,4521–4521,Terneuzen,Zeeland
Op de Bies,,6333–6333,Beekdaelen,Limburg
Biesstraat,,6093–6093,Leudal,Limburg
Biessum,,9931–9931,Delfzijl,Groningen
Biest-Houthakker,1309,5084–5084,Hilvarenbeek,Noord-Brabant
Biesthoek,,5408–5408,Uden,Noord-Brabant
Biestraat,,5126–5126,Gilze en Rijen,Noord-Brabant
Biezelinge,,4421–4421,Kapelle,Zeeland
Biezen,,4529–4529,Sluis,Zeeland
De Biezen,,5735–5735,Laarbeek,Noord-Brabant
Biezenheuvel,,5528–5528,Bladel,Noord-Brabant
Biezenmortel,1425,5074–5074,Haaren,Noord-Brabant
